entity_type,id,name,broad_category,mutable,allowed_strata,source,target,decomposition,description
invariant_nt,,ADD,,,,,,,∅ → Container
invariant_nt,,LINK,,,,,,,C × C → Wire
invariant_nt,,MUTATE,,,,,,,C → C
invariant_nt,,UNLINK,,,,,,,Wire → ∅
functor,FUN01,FileSystem,,,,CAT14,CAT01,,Import functor — reads manifest.yaml and creates/reconciles LINK morphisms.
functor,FUN02,UI_Lens,,,,CAT01,CAT15,,Render functor — maps containers and wires to XYFlow component tree.
functor,FUN03,Embedding,,,,CAT01,CAT13,,Embed functor — maps container payloads to pgvector embeddings.
functor,FUN04,Structure,,,,CAT01,CAT16,,"GPU pre-analysis functor — adjacency matrix ops, spectral analysis, DAG compression."
functor,FUN05,Benchmark,,,,CAT17,CAT18,,"Classifying functor — maps providers to points in metric space via published benchmark values. Pre-image F⁻¹(threshold) yields equivalence classes of interchangeable providers. Multiple benchmark lenses (intelligence, speed, price) compose as product functor ∏_i F_i defining provider identity."
category,CAT01,C,core,,,,,,Universal graph category — all containers and wires.
category,CAT02,Coslice(A),core,,,,,,Fan-out from A — coslice category of outgoing morphisms.
category,CAT03,Slice(A),core,,,,,,Fan-in to A — slice category of incoming morphisms.
category,CAT04,Scoped(W),core,,,,,,Full subcategory — W and its OWNS-transitive closure.
category,CAT05,Kernel,core,,,,,,Kernel post-dispatch unified view — all providers merge here.
category,CAT06,C_0,stratum_chain,,,,,,"Stratum S0 subcategory — authored, pre-validation."
category,CAT07,C_1,stratum_chain,,,,,,"Stratum S1 subcategory — validated, admissible."
category,CAT08,C_2,stratum_chain,,,,,,"Stratum S2 subcategory — materialized, graph-ready."
category,CAT20,C_3,stratum_chain,,,,,,"Stratum S3 subcategory — evaluated, contingent."
category,CAT21,C_4,stratum_chain,,,,,,"Stratum S4 subcategory — projected, never ground truth."
category,CAT09,Authored,hydration_pipeline,,,,,,Hydration stage 0 — authored input domain.
category,CAT10,Validated,hydration_pipeline,,,,,,"Hydration stage 1 — validated, schema-checked."
category,CAT11,Materialized,hydration_pipeline,,,,,,Hydration stage 2 — materialized morphism programs.
category,CAT12,Projected,hydration_pipeline,,,,,,Hydration stage 4 — projected views and surface bindings.
category,CAT22,Evaluated,hydration_pipeline,,,,,,Hydration stage 3 — evaluated contingent state.
category,CAT13,R_1536,functor_codomains,,,,,,Embedding vector space — codomain of FUN03.
category,CAT14,Manifest,functor_codomains,,,,,,Manifest file category — domain of FUN01.
category,CAT15,React,functor_codomains,,,,,,React component category — codomain of FUN02.
category,CAT16,DAG,functor_codomains,,,,,,DAG category — codomain of FUN04.
category,CAT17,Provider_p,cross_provider,,,,,,Per-provider subcategory — domain of benchmark functor FUN05.
category,CAT18,Met,cross_provider,,,,,,Metric space category — codomain of benchmark functor FUN05. Each model maps to a point; equivalence classes [P]_F partition providers by capability profile.
category,CAT19,Adapter,cross_provider,,,,,,Protocol adapter category — request/response transport.
