entity_type,id,name,broad_category,formalization_level,realized_by_wave,source,target,decomposition,gap,description
broad_cat,SUB08,evaluation,,L1,,,,,"No objects yet — awaiting C_standard L2+",Evaluation objects — benchmarks (new v3)
object,OBJ01,AuthUser,identity,,,identity.*,,"OWNS CAN_HYDRATE",,"Authenticated user container"
object,OBJ02,AppAdmin,identity,,,identity.*,,"OWNS CAN_HYDRATE PRE_FLIGHT_CONFIG",,"Application administrator"
object,OBJ03,SuperAdmin,identity,,,identity.*,,"OWNS CAN_HYDRATE PRE_FLIGHT_CONFIG CAN_SCHEDULE CAN_FEDERATE",,"Root administrator"
object,OBJ04,AppTemplate,structure,,,structure.*|identity.*,,"CAN_HYDRATE",,"Template container"
object,OBJ05,NodeContainer,structure,,,structure.*|identity.*,,"LINK_NODES SYNC_ACTIVE_STATE",,"General-purpose container"
object,OBJ06,AgnosticModel,compute,,,compute.*|identity.*,,"CAN_HYDRATE",,"LLM/ML model container"
object,OBJ07,SystemTool,compute,,,compute.*|identity.*,,,,Tool container
object,OBJ08,UI_Lens,surface,,,surface.*,,"SYNC_ACTIVE_STATE",,"UI rendering surface"
object,OBJ09,RuntimeSurface,surface,,,surface.*|identity.admin+,,,,Execution surface endpoint
object,OBJ10,ComputeResource,compute,,,compute.*|identity.admin+,,,,Schedulable resource container
object,OBJ11,ProtocolAdapter,protocol,,,protocol.*,,"CAN_ROUTE",,"Routable communication container"
object,OBJ12,InfraService,infra,,,infra.*,,,,Persistable infrastructure container
object,OBJ13,MemoryStore,memory,,,memory.*,,"CAN_HYDRATE",,"Ephemeral/persistent memory container"
morphism,MOR01,OWNS,,,,identity.*,any,"LINK(owner 'owns' target 'child')",,"Ownership edge — transitive"
morphism,MOR02,CAN_HYDRATE,,,,identity.*|structure.*|memory.*,any,"LINK(actor 'can_hydrate' target 'hydrate')",,"Hydration permission"
morphism,MOR03,PRE_FLIGHT_CONFIG,,,,identity.admin+,surface.*|structure.*,"MUTATE(surface config_payload)",,"Runtime configuration"
morphism,MOR04,SYNC_ACTIVE_STATE,,,,surface.*,structure.*,"MUTATE(container current_state)",,"State synchronization"
morphism,MOR05,ADD_NODE_CONTAINER,,,,identity.*|structure.*,structure.*,"ADD(container);LINK(parent 'owns' container 'child')",,"Create + wire container"
morphism,MOR06,LINK_NODES,,,,structure.*,structure.*,"LINK(source port_s target port_t)",,"General-purpose wiring"
morphism,MOR07,UPDATE_NODE_KERNEL,,,,identity.*|compute.*,structure.*,"MUTATE(container kernel_state)",,"Kernel-level state update"
morphism,MOR08,UNLINK_EDGE,,,,any,any,"UNLINK(source port_s target port_t)",,"Remove wire (renamed from DELETE_EDGE in v2)"
morphism,MOR09,CAN_SCHEDULE,,,,identity.admin+|compute.*,compute.ComputeResource,"LINK(kernel 'can_schedule' resource 'workload')",,"Workload allocation"
morphism,MOR10,CAN_ROUTE,,,,protocol.ProtocolAdapter,any,"LINK(adapter 'can_route' target 'transport')",,"Transport selection"
morphism,MOR11,CAN_PERSIST,,,,any,infra.InfraService|memory.MemoryStore,"LINK(source 'can_persist' infra 'storage')",,"Storage routing"
morphism,MOR12,CAN_FEDERATE,,,,identity.SuperAdmin,surface.RuntimeSurface,"LINK(kernel_a 'can_federate' kernel_b 'peer')",,"Cross-instance communication"
morphism,MOR13,CAN_FORK,,,,compute.*|identity.admin+,compute.ComputeResource,"LINK(active_state 'can_fork' compute_gpu 'vram_branch')",planned,"Branch parallel exploration (GPU VRAM)"
morphism,MOR14,SCORED_ON,,,,compute.AgnosticModel,evaluation.*,"LINK(model 'scored_on' benchmark_score 'result')",planned,"Model achieved benchmark score (v3 new)"
morphism,MOR15,EVALUATES_TASK,,,,evaluation.*,structure.*,"LINK(benchmark_score 'evaluates_task' task 'evaluation')",planned,"Score applies to task definition (v3 new)"
morphism,MOR16,BENCHMARKED_BY,,,,evaluation.*,evaluation.*,"LINK(benchmark_score 'benchmarked_by' suite 'membership')",planned,"Score belongs to benchmark suite (v3 new)"
invariant_nt,,ADD,,,,∅,Container,,,"Create container — URN enters Ob(C)"
invariant_nt,,LINK,,,,C×C,Wire,,,"Create wire — edge enters Hom(C)"
invariant_nt,,MUTATE,,,,C,C,,,"Update container state — endomorphism"
invariant_nt,,UNLINK,,,,Wire,∅,,,"Remove wire — edge leaves Hom(C)"
functor,FUN01,FileSystem,,,,Manifest (CAT14),C (CAT01),,,"Import functor — manifest.yaml → graph"
functor,FUN02,UI_Lens,,,,C (CAT01),React (CAT15),,,"Render functor — graph → XYFlow"
functor,FUN03,Embedding,,,,C (CAT01),R^1536 (CAT13),,,"Embed functor — payloads → vectors"
functor,FUN04,Structure,,,,C (CAT01),DAG (CAT16),,planned,"GPU pre-analysis functor"
functor,FUN05,Benchmark,,,,Provider_p (CAT17),Standard (CAT18),,planned,"Cross-provider comparison functor"
system,SYS01,RootContainer,,,,,,,,Top-level ownership root
system,SYS02,MainLoop,,,,,,,,Kernel event loop
system,SYS03,RestingStateDB,,,,,,,,Postgres ground truth
system,SYS04,ActiveStateGraph,,,,,,,,Live hypergraph superposition
paper_ref,EXT01,H (HDC algebra),,L3,,,,,,"Hypervectors {-1 +1}^d — bind bundle permute"
paper_ref,EXT02,G_H (HyperGraphRAG),,L2,,,,,,"Hypergraph (V E_H)"
paper_ref,EXT03,P G (LogicGraph),,L1,,,,,,"Propositional sets"
