Term,Type,Broad_Category,Description,Source_Connection,Target_Connection
ADD_NODE_CONTAINER,Morphism,relationship,"Create + wire container. Decomposition: ADD(container) ; LINK(parent, 'owns', container, 'child').",identity.* | structure.*,structure.*
LINK_NODES,Morphism,relationship,"General-purpose wiring. Decomposition: LINK(source, port_s, target, port_t).",structure.*,structure.*
UPDATE_NODE_KERNEL,Morphism,relationship,"Kernel-level state update. Decomposition: MUTATE(container, kernel_state).",identity.* | compute.*,structure.*
DELETE_EDGE,Morphism,relationship,"Remove wire. Container persists. May create orphan nodes. Decomposition: UNLINK(source, port_s, target, port_t).",any,any
CAN_SCHEDULE,Morphism,relationship,"Workload allocation. Kernel/admin schedules work to compute resource. Decomposition: LINK(kernel, 'can_schedule', resource, 'workload').",identity.admin+ | compute.*,compute.ComputeResource
CAN_ROUTE,Morphism,relationship,"Transport selection. Protocol adapter routes traffic. Decomposition: LINK(adapter, 'can_route', target, 'transport').",protocol.ProtocolAdapter,any
CAN_PERSIST,Morphism,relationship,"Storage routing. Container persists state through infra. Decomposition: LINK(source, 'can_persist', infra, 'storage').",any,infra.InfraService | memory.MemoryStore
CAN_FEDERATE,Morphism,relationship,"Cross-instance communication. Morphism bundle exchange between mo:os instances. Decomposition: LINK(kernel_a, 'can_federate', kernel_b, 'peer').",identity.SuperAdmin,surface.RuntimeSurface
CAN_FORK,Morphism,relationship,"Branch parallel exploration. Fork active state graph into GPU VRAM for parallel DAG scoring. Decomposition: LINK(active_state, 'can_fork', compute_gpu, 'vram_branch'). Status: planned.",compute.* | identity.admin+,compute.ComputeResource
FileSystem,Functor,surface,"Import: manifest.yaml → wires. Direction: codebase → graph. Status: active.",,
UI_Lens,Functor,surface,"Render: containers × wires → React tree. Direction: graph → browser. Status: active.",,

Embedding,Functor,surface,"Embed: state_payload → R^1536. Direction: graph → vector space. Status: active.",,
Structure,Functor,surface,"GPU pre-analysis: subgraph → compressed DAG. Direction: graph → compressed repr. Status: planned.",,
Benchmark,Functor,surface,"Cross-provider: C_provider → C_standard. Direction: provider → standard. Status: planned.",,
ADD,Invariant_NT,foundation,"∅ → Container. Create container.",,
LINK,Invariant_NT,foundation,"C × C → Wire. Create wire.",,
MUTATE,Invariant_NT,foundation,"C → C. Update container state.",,
UNLINK,Invariant_NT,foundation,"Wire → ∅. Remove wire.",,
RootContainer,System,infrastructure,"Top-level container. Root of all ownership trees.",,
MainLoop,System,infrastructure,"Kernel event loop. Event→Route→Dispatch→Transform→Commit. No business logic.",,
RestingStateDB,System,infrastructure,"Postgres ground truth. morphism_log (truth), containers/wires (caches), container_embeddings (functor output).",,
ActiveStateGraph,System,infrastructure,"Live hypergraph superposition. Queries collapse by port type selection.",,
